Price,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,BTC-USD,GOOG,META,TSLA,AMZN,BTC-USD,GOOG,META,TSLA,AMZN,BTC-USD,GOOG,META,TSLA,AMZN,BTC-USD,GOOG,META,TSLA,AMZN,BTC-USD,GOOG,META,TSLA,AMZN,BTC-USD,GOOG,META,TSLA,AMZN,BTC-USD,GOOG,META,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01,178.22000122070312,62440.6328125,138.0800018310547,502.29998779296875,202.63999938964844,0.0,0.0,0.0,0.0,0.0,178.72999572753906,63155.1015625,140.0,504.25,204.52000427246094,176.07000732421875,60802.52734375,137.97500610351562,491.8500061035156,198.5,176.75,61168.0625,139.61000061035156,492.1099853515625,200.52000427246094,0.0,0.0,0.0,0.0,0.0,31956200.0,40186368423,28522000.0,16273600.0,82099200.0
2024-03-02,,62029.84765625,,,,,0.0,,,,,62458.69921875,,,,,61657.2890625,,,,,62431.65234375,,,,,0.0,,,,,23888473685,,,
2024-03-03,,63167.37109375,,,,,0.0,,,,,63230.2109375,,,,,61435.0234375,,,,,62031.578125,,,,,0.0,,,,,26253811450,,,
2024-03-04,177.5800018310547,68330.4140625,134.1999969482422,498.19000244140625,188.13999938964844,0.0,0.0,0.0,0.0,0.0,180.13999938964844,68537.03125,136.6300048828125,504.4200134277344,199.75,177.49000549316406,62386.51953125,132.86000061035156,496.4200134277344,186.72000122070312,177.52999877929688,63137.00390625,136.5399932861328,503.0,198.72999572753906,0.0,0.0,0.0,0.0,0.0,37381500.0,70670471105,43571500.0,12324100.0,134334900.0
2024-03-05,174.1199951171875,63801.19921875,133.77999877929688,490.2200012207031,180.74000549316406,0.0,0.0,0.0,0.0,0.0,176.92999267578125,69170.625,134.02000427246094,495.5799865722656,184.58999633789062,173.3000030517578,59323.91015625,131.5500030517578,487.8900146484375,177.57000732421875,176.92999267578125,68341.0546875,132.74000549316406,495.0,183.0500030517578,0.0,0.0,0.0,0.0,0.0,37228300.0,102802940877,28447600.0,15325300.0,119660800.0
2024-03-06,173.50999450683594,66106.8046875,132.55999755859375,496.0899963378906,176.5399932861328,0.0,0.0,0.0,0.0,0.0,176.4600067138672,67637.9296875,134.74000549316406,502.9700012207031,181.5800018310547,173.25999450683594,62848.671875,131.9499969482422,494.2900085449219,173.6999969482422,175.5399932861328,63776.05078125,134.24000549316406,497.6300048828125,179.99000549316406,0.0,0.0,0.0,0.0,0.0,32090900.0,68750229073,23175200.0,11757900.0,107920900.0
2024-03-07,176.82000732421875,66925.484375,135.24000549316406,512.1900024414062,178.64999389648438,0.0,0.0,0.0,0.0,0.0,177.99000549316406,68029.921875,135.82000732421875,519.8499755859375,180.0399932861328,173.72000122070312,65655.53125,132.66000366210938,501.3800048828125,173.6999969482422,174.8300018310547,66099.7421875,133.88999938964844,503.2799987792969,174.35000610351562,0.0,0.0,0.0,0.0,0.0,34063300.0,46989543159,24107300.0,18586400.0,102129000.0
2024-03-08,175.35000610351562,68300.09375,136.2899932861328,505.95001220703125,175.33999633789062,0.0,0.0,0.0,0.0,0.0,178.7899932861328,70083.0546875,138.98500061035156,523.5700073242188,182.72999572753906,174.3300018310547,66230.453125,134.8000030517578,499.3500061035156,174.6999969482422,176.44000244140625,66938.09375,135.03500366210938,514.1900024414062,181.5,0.0,0.0,0.0,0.0,0.0,37853500.0,59202881172,26472400.0,18575200.0,85315300.0
